<MOH id = 0 >	****** Result for Image/Page 1 ******
<MOH id = 1196 >	8 Tóka' ensakwátshe'ne' né: tsi shena'tonhkwén:nis nónhka ahshehwístani' é:so nahatikária'ke' nowí:ra', sakwatshéhsera' akò:ren enieié:na' né: shakotinorónhkhwa' ne rotí:ten. 
<MOH id = 1197 >	9 Tóka' ne kaianerénhsera' iah thahsatewén:narahkwe', Rawenní:io enháhswen' ne saterennaientáhtshera' iah thahatahónhsatate'. 
<MOH id = 1198 >	10 Tóka' tenhsherihwaierónnion' nónhka tiakorihwaié:ri karihwahétken ken' niaié:iere', í:se' ki' entisatkarenhrákwahse'; nok ne ónhka iah othé:nen tehoti'nhì:kon tenhonaterihwa'serákwahse'. 

<MOH id = 1200 >	****** Result for Image/Page 65 ******

<MOH id = 1202 >	11 Nón:kwe ne rotikwátshe' tiótkon rón:nehre' ronte'nikonhrattókha', nok ne ró:ten raka'enionhtsherí:io tenhaia'tó:rehte' tsi nihatiweiennò:ten's, raónha ki' sénha shako'nikonhraienté:ri. 
<MOH id = 1203 >	12 Nó:nen ne thotirihwaié:ri enhonterihón:ten', akwé:kon ronatonhnháhere', nok nó:nen ne iah tethotirihwaié:ri enhonterihón:ten', nón:kwe enhontahsehtánion. 
<MOH id = 1204 >	13 Iah nonwén:ton thaiesaterihwahténtia'se' tóka' enhsate'nién:ten' ahsáhsehte' tsi sarihwanéren. Sasatathré:waht tánon' é:ren shá:wiht, thó:ne ó:nen Rawenní:io énthion' kaia'tateríhtshera'. 
<MOH id = 1205 >	14 Tiótkon tshewén:narakhw ne Roiá:ner tánon' ensatonhnhà:rake'. Tóka' seriahsahní:ron, é:so ki' ensáhton'se'. 
<MOH id = 1206 >	15 Nón:kwe ne rotí:ten iah tehotí:ien nahontatia'takéhnha' tóka' ne raianerenhserón:nis iah tetionkwe'taié:ri; ne sha'tehonatia'tátteron ne kèn:reks iotonriá:ien tóka' ò:ni' ne ohkwá:ri tewahkwataséhons. 
<MOH id = 1207 >	16 Ne rakó:ra' iah tehó:ien ne wattokhahtsherí:io shakohwishà:tha', sok ne ónhka ráhswens nahò:ten' iah tetkaié:ri karì:wes rakó:ra' enkénhake'. 
<MOH id = 1208 >	17 Nónhka ro'nhì:kon tóka' shakohséhton, tho niiosnó:re' tsi ró'kwats raónha tsi nón:we nenhonwaia'táta'. Tóhsa sate'nién:ten tahtstáhste'. 
<MOH id = 1209 >	18 Sarihwakwarihsiónhak tánon' enhse'niá:ken'ne'. Tóka' iah tesarihwakwaríhsion thentiawén'stsi' enhsatkarón:ni'. 
<MOH id = 1210 >	19 Raiénthos ne rotste'niá:ron rokà:te' nahò:ten' à:rake'. Nón:kwe iontenhniserakaiónhstha' tiótkon eniakoténhton. 
<MOH id = 1211 >	20 Nón:kwe ne iakorihwakwaríhsion tiótkon eniakotonhnhà:rake' tánon' enká:nahne' tsi iakónhnhe'. Tóka' tesahsteríhens naiesakwátshe'ne' tsi nonkwá:ti iah tetkaié:ri enhsathré:wahte'. 
<MOH id = 1212 >	21 Iah tetkaié:ri ne iakotkenhronniáhtskon. Ótia'ke' ne tehatiia'toréhtha' tenhati'nióhsken'ne' tsi ní:tsi enhatirì:wenhte' oh naiá:wen'ne' ne ok ò:ni' ken'k ní:kon nahonatkária'khse' ne ka'nikonhrhà:ton. 
	 
<MOH id = 1214 >	****** Result for Image/Page 66 ******

<MOH id = 1216 >	22 Ne ronónha khok rontatè:iahre' tehotihsteríhens nahotikwátshe'ne', iah tehonttó:kas kátke kententéhtshera' tahotíhkwa'te'. 
<MOH id = 1217 >	23 Ónhka enhsherihwakwaríhsien', sok ohna'kénhkha ne sénha enhonerien'tí:io' tsi ní:ioht ne tahsherénhsaron'. 
<MOH id = 1218 >	24 Ónhka tsi ranonhtónnion iah tha'teho'niohskèn:'en tóka' enhshakonénhsko' ne ronwaièn:'a, ne aontahonwate'nién:tenhste' ne kwah ranenhskwahtsheráksen. 
<MOH id = 1219 >	25 Sonhà:a'k satatè:iahre' nek tkáhas ka'nikonhrharáhtshera'. Ne sénha ioiánere' sarihwà:ke tatshéhtahkw ne Roiá:ner. 
<MOH id = 1220 >	26 Teiotenonhwarorì:tonte' ne áhtshere' tsi nisa'nikonhrò:ten'. Satatia'tanónhstat: ítsher ne tehoti'nikonhráthe' raotirihonnienníhtshera'. 
<MOH id = 1221 >	27 Tashé:ion ne iakó:ten tánon' iah nonwén:ton thaiesenténhton. Tóka' sa'nikonhrón:nis tsi iah tehshé:kens ne iakó:ten, é:so nón:kwe tsi eniesatera'swaksà:ten', 
<MOH id = 1222 >	28 Nonkwehshòn:'a ronatahséhton nó:nen ne iah tetionkwe'taié:ri enhonterihón:ten'. Nó:nen enshonwatiià:tenhte' né:ne thotirihwaié:ri iontonkwe'takwaríhsion ohén:ton tenshatí:ta'ne'. 
<MOH id = 1223 >	29 Tóka' sénha enhsatenontsistahní:rate' tsi ní:kon ónhka aiesarihwakwaríhsien', éntewe' nenhnísera' akwáh tokèn:'en ensatera'swáksen'ne' tánon' iah nonwén:ton thaonsahsatonhnhakwatá:ko'. 
<MOH id = 1224 >	2 Takena'tón:hahs thorihwaié:ri ne rakorahserakwe'ní:io tánon' enkonna'tón:hahse' ronatonhnháhere' nón:kwe. Takena'tón:hahs ne iah tetionkwe'taié:ri ne rakorahserakwe'ní:io enkonna'tón:hahse' nón:kwe ne iah tehonatonhnháhere'. 
<MOH id = 1225 >	3 Tóka' tehserénhsarons ne attokháhtshera' enhninaiéhake' ne iesaièn:'a ní:se' sarihwà:ke. Teiotenonhwarorì:tonte' ahsathwistatié:sahte' ne wathonwisen'tsheráksen's akontirihón:ni'. 
	 
<MOH id = 1228 >	****** Result for Image/Page 67 ******

<MOH id = 1230 >	4 Nó:nen ronontí:io tehotate'nikónhrhare' naterihwakwarihsiónhtshera' aorihwà:ke, enka'shátsteke' ne kanakeráhsera', nok tóka' ohwísta' khok teho'nikónhrhare' enhen'táksa'te' tsi ranákere'. 
<MOH id = 1231 >	5 Tóka' tenhsherenhsarónnion' ne sewatenro'shòn:'a, tánon' ne sa'nikòn:rakon iah tho té:ioht í:se' ienhsatatonhnhonhtò:roke' tsi waterístaien. 
<MOH id = 1232 >	6 Nón:kwe ionkwe'tahétken raotirihwanera'áktshera' ienhotiià:tenhte' tsi waterístaien, ok ne tionkwe'taié:ri ronatonhnháhere' tánon' rontatewenní:io. 
<MOH id = 1233 >	7 Ne tiakorihwaié:ri iakoterièn:tare' tsi nihotiianerenhserò:ten' ne rotí:ten, nok ne iah tetionkwe'taié:ri iah nen' nè:'e tehoti'nikonhraién:ta's kí:ken nikarihò:ten's. 
<MOH id = 1234 >	8 Nón:kwe ne iah othé:nen tehshakonón:ni nakohrèn:shon enwá:ton' kanatakwé:kon tsi tenhonni'tónnia'te'. Nok ne ronte'nikonhrattókha' skén:nen ronnón:nis. 
<MOH id = 1235 >	9 Nó:nen ónhka teiako'nikonhráthe' tsi ieia'torehtáhkhwa' enhonwahiatónhseron' ne tehotenonhwarorì:tonte', nek ne roiéshon tánon' iorakarè:ni tsi ní:tsi enhatonkwe'táksa'te'. 
<MOH id = 1236 >	10 Nón:kwe ne ronteriiohseranòn:we' shakotíhswens nónhka iakorihwakwaríhsion, nok ne tionkwe'taié:ri enhshakotiia'tanónhstate' ne iakorihwakwaríhsion. 
<MOH id = 1237 >	11 Nón:kwe ne iah tha'tehoti'nikonhráthe' iah tehonhséhtha' ne raotina'khwénhsera', nok ne ronttokhahtsherí:io roti'nikonhrí:io enhatikwé:ni' nahontatié:na'. 
<MOH id = 1238 >	12 Tóka' ne rakó:ra' enhatahónhsatate' ne orihwa'shòn:'a wanowénhton akwé:kon ki' enhotinowénhake' ne ronwaio'ténhse'. 
<MOH id = 1239 >	13 Iakó:ten tánon' ne shakotentehstén:ni ne shà:ka, tetsá:ron Roiá:ner tehshakó:wi nokà:ra' nahiatkáhtho'. 
<MOH id = 1240 >	14 Tóka' ronontí:io entehshakóhnhe' ne rotí:ten ne raotiianerénhsera', karì:wes ki' enhoterihón:take'. 
<MOH id = 1241 >	15 Ahsherihwakwaríhsien' tánon' ahsheháharahte' ioiánere' ne ratiksa'okòn:'a, raotirihwà:ke. Tóka' ronónha enthonnónhton' enhshakonatéha'te' ne shakoti'nisténha. 
	 
<MOH id = 1243 >	****** Result for Image/Page 68 ******

<MOH id = 1245 >	16 Nó:nen nón:kwe ionkwe'tahétken ronateríhonte', ísi' nón: wahétken tenwathna'néta'. Nok ne thotirihwaié:ri enhonnónhnheke' nahontkáhtho' naonsahonwatiià:tenhte' kí:ken niionkwe'tò:ten's. 
<MOH id = 1246 >	17 Sherihwakwaríhsien ne sheien'okòn:'a tánon' tiótkon enhsenaiéhake'. Iah nonwén:ton thaontaié:son' nahò:ten' nahsatéhen'.
<MOH id = 1247 >	18 Kanakeráhsera' tóka' iah Rawenní:io raottokháhtshera' tehatíhsere', tenhonni'tónnia'te' tsi ratinákere'. Iotonhnhà:raht nónhka iéhsere' ne Rawenní:io raoianerénhsera'! 
<MOH id = 1248 >	19 Iah thaón:ton' nahsherihwakwaríhsien' ne kahnhà:tshera' nek ne ahshehtháhrhahse'. Tóka' nòn:wa enhoti'nikonhraién:ta'ne' nok ki' iah othé:nen thahontahónhsatate'. 
<MOH id = 1249 >	20 Ne sénha iohrharahtsherá:ien ne tehotenonhwarorì:tonte' tsi ní:ne ónhka iah thahanonhtonnión:ko' nahò:ten' enthawenníneken'ne'. 
<MOH id = 1250 >	21 Tóka' akwé:kon entehshé:ion' tsi nahò:ten' tehonatonhwentsó:ni ne sahnhà:tshera' tsi náhe' shihatiksa'okòn:'a tsi niió:re nòn:wa éntewe' nenhnísera' akwé:kon ienhatíhawe' tsi nahò:ten' sá:ien. 
<MOH id = 1251 >	22 Nón:kwe iena'kwahseró:hen tkáhas é:so ne taionterihwakén:ni' ò:ni' ka'nikonhrharáhtshera'. 
<MOH id = 1252 >	23 Atatkwenienhstáhtshera' entkáhawe' ehtà:ke niensaia'ténhawe', nok tóka' saniténhton, eniesakwénienhste'. 
<MOH id = 1253 >	24 Ónhka ne thonatenróhon ranénhskwas raónha tiaonhà:'a ratátshwens. Enhonwahré:wahte' tóka' tsi ieia'torehtáhkhwa' orihwí:io tsi nahò:ten' enhèn:ron' tánon' Rawenní:io enhohré:wahte' tóka' iah tho thahá:iere'. 
<MOH id = 1254 >	25 Iótteron tahsatate'nikonhrhá:ren' tsi nahò:ten' ronnonhtónnion nakohrèn:shon ní:se' sarihwà:ke, nok ki' tóka' tsheniahé:sen ne Roiá:ner skén:nen enhsanonhtonniónheke'. 
<MOH id = 1255 >	26 Akwé:kon ne teiakotonhwentsó:ni nahonwa'nikonhraié:rite' ne rakorahserakwe'ní:io, nok ki' raonhà:'a Roiá:ner énthion' ne aterihwakwarihsiónhtshera'. 
	 
<MOH id = 1257 >	****** Result for Image/Page 69 ******

<MOH id = 1259 >	27 Ne rotirihwakwaríhsion shakotíhswens ne iah tetionkwe'taié:ri, tánon' ne iah tetionkwe'taié:ri shakotíhswens ne thotirihwaié:ri. 
	
<MOH id = 1261 >	Raowenna'shòn:'a ne Agur 
<MOH id = 1262 >	30 Ne kí:ken Agur, Jakeh roièn:'a, iorihwahní:ron's raowenna'shòn:'a teharihwathè:tha' tsi nihotiianerenhserò:ten's "Rawenní:io iah teiakenikwé:kon, Rawenní:io iah teiakenikwé:kon, iah ki' thakkwé:ni' akatatia'takéhnha' iah tewake'shatstenhserá:ien. 
<MOH id = 1263 >	2 Katshé:nen sénha tho nitia'tò:ten' tsi ní:ioht ne ón:kwe; iah tho té:ioht tsi wake'nikonhraién:ta's tsi ní:ioht ne tsón:kwe. 
<MOH id = 1264 >	3 Iah nonwén:ton tewakeweientehtà:'on ne attokháhtshera', tánon' iah othé:nen tewakaterièn:tare' nen' nè:'e ne Rawenní:io. 
<MOH id = 1265 >	4 Ónhka ken ó:nen akwé:kon tiakorihwahsa'áhton ne karonhia'kéhkha kaweientehtáhtshera'? Ó:nen ken ónhka iehsnonsà:ke ionhtsa'nénhawe' ne ówera'? Tóka' ò:ni' onia'tara'à:ke ohné:ka' ahshwe'nón:ni'? Tóka' ò:ni' ahskwatá:ko' tsi kaieronnítston tsi ionhwentsá:te'? Ónhka ká:ti', tóka' saterièn:tare'? Ónhka ká:ti' shakotiien'okòn:'a? 
<MOH id = 1266 >	5 "Rawenní:io iah nonwén:ton thaonsaho'nikónhrhen' nahò:ten' enhahrhá:ratste'. Tho ki' ì:rate' nahshakoia'tanónhstate' nónhka ionhská:neks. 
<MOH id = 1267 >	6 Tóka' sá:ton othé:nen wahèn:ron' ne iah ne tehá:wen, enshiahsnó:rahkwe' tánon' wè:ne' enhrón:ni' tsi sanó:wen. Shé:kon ne Attokháhtshera' 
<MOH id = 1268 >	7 Sewenní:io kon'nekén:nis, teiorì:wake aontáhskon' ohén:ton tsi niió:re enkíheie' 
<MOH id = 1269 >	8 Tóhsa aonkenowénhake', tánon' tóhsa aonkkwatshéhake' tóhsa ò:ni' aonkiténhton. Thok ní:kon aontáhskon' atennà:tshera' tsik ní:kon teiotonhwentsóhon.
  
<MOH id = 1272 >	****** Result for Image/Page 70 ******

<MOH id = 1275 >	9 Tóka' só:tsi é:so aontáhskon' nòn:wa, enkì:ron' iah tha'teskoniatonhwentsó:ni. Nok tóka' wakí:ten, tóka' nòn:wa enkenénhsko' tánon' enhiiatéha'te' Akení:io. 
<MOH id = 1276 >	10 Tóhsa nonwén:ton enhserihwákwahse' ne kontihnhà:tshera' raohén:ton ne raia'takwe'ní:io. Enhsatkenhren'serón:ni' tánon' enhsatkarón:ni' ne aorihwà:ke. 
<MOH id = 1277 >	11 Ótia'ke' nón:kwe enhshakotikenhren'serón:ni' ne ka'níhsera' tánon' iah tehshakotikweniénhstha' ne ka'nisténhsera'. 
<MOH id = 1278 >	12 Ótia'ke' nón:kwe tsi ronnonhtónnion iah othé:nen tehoti'nhihserá:ien, tánon' iaohetstáhkwen tsi na'teió'tson ne raonatónhnhets. 
<MOH id = 1279 >	13 Ótia'ke' nón:kwe tsi ronnonhtónnion kwah í:ken tsi thonnonkwe'taié:ri — tsi rontatka'én:ions kwah í:ken tsi thotirihwaié:ri! 
<MOH id = 1280 >	14 Ótia'ke' nón:kwe shakotinonhwarori'tón:nis ne iakó:ten, ò:ni' ne teiakotkárien; tho ki' ní:ioht tsi ronnonhnhétie'. 
<MOH id = 1281 >	15 Oserakwaròn:ne' tékeni teioia'tase'tsherá:ien, tetsá:ron "Kásha!" konwatí:iats.  Kaié:ri niiorì:wake ne iah nonwén:ton thia'taiotiié:rihse' 
<MOH id = 1282 >	16 Tsi ionhwentsá:te' ne kenhé:ion, tánon' iakón:kwe ne iah teiakowí:raien, tánon' iaonhwentsáthen ne teiotonhwentsóhon naiokén:nore', tánon' ne iotékha' io'niaken'hátie'. 
<MOH id = 1283 >	17 Tóka' thenhtshié:ron' ne ia'níha tóka' ò:ni' enhshéhswen' sa'nisténha nó:nen eniontia'tísa', kwah orihwà:ke wenheiòn:taks én:wake' tsi sónhnhe' tóka' ò:ni' tsoka'we'kó:wa aiesakahratáhko'. 
<MOH id = 1284 >	18 Kaié:ri niiorì:wake tsi só:tsi teioterihwatierónnion naonke'nikonhraién:ta'ne', ne à:kweks tsi kátie's karonhia'kéhshon, ò:niare' tsi watoriahnerónkwas otstenhrà:ke, ne kahonweia'kó:wa tsi kaniataratátie' katshénrie's tsi nón:we wáhe', tánon' ne rón:kwe tánon' iakón:kwe kanoronkhwahtsherá:kon tahiatatia'tatshén:ri'.
	 
<MOH id = 1287 >	****** Result for Image/Page 71 ******

<MOH id = 1290 >	20 Ne ká:ti' kí:ken iakón:kwe iakoniá:kon ne iah teiakorihwakwaríhsion, eniontenahkwaié:sahte', sok eniontá:wen', tánon' eniaì:ron', "iah othé:nen tewakatié:ren ne iah tetkaié:ri!" 
<MOH id = 1291 >	21 Kaié:ri niiorì:wake tsi ionhwentsá:te' iah thakarihwaié:na': 
<MOH id = 1292 >	22 ne rahnhà:tshera ronontí:io ahá:ton', ne tehotenonhwarorì:tonte' tiótkon ahoién:take' tsi ní:kon tehotonhwentsó:ni à:rake', 
<MOH id = 1293 >	23 ne iakón:kwe iakotswèn:tskon naiakóniake', tánon' ne iehnhà:tshera' taiontatenaktáhkwen' ne  ienonhsakwe'ní:io. 
<MOH id = 1294 >	24 Kaié:ri nikón:ti ken' nikonnà:sa kontírio ne kwah í:ken tsi konttókha': 
<MOH id = 1295 >	25 Tsiki'nhontstókhwi iah tekonti'shátste' nok ki' tsi niwakénhnhes konteweièn:tons naonatennà:tshera'. 
<MOH id = 1296 >	26 Ohrió:ken iah ò:ni' tehati'shátste' nek tsi tho nón:we nihontenatón:nis otstenhra'kéhshon. 
<MOH id = 1297 >	27 Tsistá:rare' iah tehotí:ien ne ronontí:io nek tsi ratinenhrahserón:nis ki' tsi rón:ne'. 
<MOH id = 1298 >	28 Tó:tis enwá:ton' enhsié:na' sehsnonhsà:ke nok enhsheia'tatshén:ri' tsi nón:we ne ronontí:io tsi ronónhsote'.
<MOH id = 1299 >	29 Kaié:ri niiorì:wake ne kwah ionehrákwa tahskà:nerake' tsi kón:ne' 
<MOH id = 1300 >	30 Kèn:reks ne aonhà:'a thati'shátste' iah ni' othé:nen tehatitshà:nis; 
<MOH id = 1301 >	31 kaia'tákeras, kítkit rá:tsin rora'sehstonhátie', tánon' rotinontí:io's ne rontatkweniénhstha' tsi rón:ne' raotihén:ton nonkwehshòn:'a. 
<MOH id = 1302 >	 
<MOH id = 1303 >	****** Result for Image/Page 72 ******

<MOH id = 1305 >	32 Tóka' iekaié:ri wahsatatenonhwarori'tón:ni' tánon' satatón:ni ò:ni' ahsatateweiennón:ni' nahò:ten' ne karihwanéren, tesatáttahst tánon' sanonhtonnión:ko! 
<MOH id = 1306 >	33 Tóka' ne kawistohserókwen tahsawénrie', owistóhsera' ienwá:ton'. Tóka' ónhka enhshe'nionhsáia'ke', entkanékhwa'. Tóka' ónhka enhshena'kón:ni', enhsataterihwakà:tatshe' ki'. 
	
<MOH id = 1310 >	Ronwa'nikonhrá:wis Ronontí:io    
	
<MOH id = 1312 >	31 Ne kí:ken iorihwahní:ron nowenna'shòn:'a Ronontí:io Lemuel ro'nisténha wahonwahronkà:ten'         
<MOH id = 1313 >	2 "Í:se' konièn:'a ne kwah konnorónhkhwa', wa'tewaterihwa'será:ko' nakwaterennaientáhtshera'. Nahò:ten' ne kèn:'en akonhró:ri'? 
<MOH id = 1314 >	3 Tóhsa satié:saht sa'shatsténhsera' ne ken'téhtshera' akarihón:ni' tánon' ne sahwísta' akwé:kon konnón:kwe iakontíhsa'ahte'; iakotinontiio'tsheraríhsions.         
<MOH id = 1315 >	4 Satahónhsatat, Lemuel. Rotinontí:io's iah teioterihwíson ne otsì:tsa' nahatihnekì:ra' tóka' ò:ni' ahatinón:wake' ne iohnekahní:ron. 
<MOH id = 1316 >	5 Nó:nen rotihnekì:ren, enshoti'nikónhrhen' ne kaianerenhsera'shòn:'a tánon' enshontate'nikonhrhénhten' raotiianerenhsera'shòn:'a nonkwe'ó:kon nahshakotiia'takéhnha'. 
			6 Kí:ken iohnekahní:ron nen' nè:'e raoná:wen ne ronnihé:ions tánon' roti'nikonhráksen's.         
<MOH id = 1317 >	7 Sheríhon nahatihnekì:ra' naonsahoti'nikónhrhen' tsi rotí:ten tánon' iah tehotí:ien natonhnhahráhtshera'.         
<MOH id = 1318 >	8 "Ia'sheiatátia's nón:kwe ne iah thahatikwé:ni' ne tahontateri'wakéhnhahse'. Sheia'tanónhstat ne raotiianerénhsera' ne iah thahatikwé:ni' nahontatia'takéhnha'. 
<MOH id = 1319 >	9 Sheiatátia's tánon' tkaié:ri tsi tenhsia'tó:rehte'. Tsa'tanónhstat raotiianerénhsera' ne rotí:ten tánon' ne tehonatkárien. 
			Ró:ne ne Ieweienní:io 
			10 Tho niwentó:re' nahsenahkwatshén:ri' ne ieweienní:io! Akaónha sénha é:so sha'tékena tsi ní:ioht ne ohwistanoron'shòn:'a!         
<MOH id = 1320 >	11 Ró:ne shakoniahé:sen, iah nonwén:ton thahoténhta'ne'.         

<MOH id = 1322 >	****** Result for Image/Page 73 ******
        
<MOH id = 1324 >	12 Tsi nikarì:wes iakónhnhe' nek thonwá:wis ne nahò:ten' ne ioiánere' iah nonwén:ton thahonwakarón:ni'.         
<MOH id = 1325 >	13 Tió:konte' teiakoweienhnharà:'on, karisé: tánon' kania'tarí:io oniatarà:'a iakón:ni.         
<MOH id = 1326 >	14 Atennà:tshera' tieiòn:tha' raotinónhskon tsik nón:we tiéhas tsi ní:ioht tsi nia'té:kon kontíhes kahonweia'kó:wa.         
<MOH id = 1327 >	15 Ohén:ton tsi niió:re enwén:te'ne' iontkétskwas iekwatákwas nahò:ten' enhón:neke' nakohwá:tsire' tánon' enkonwahró:ri' nakohnhà:tshera' nahò:ten' ken' niaká:iere'.         
<MOH id = 1328 >	16 Iakéhsaks onhwéntsa' tánon' wa'ehní:non', ne wà:'ontste' ohwísta' ne akaónha teiakotèn:tshon ò:ni' skahéhta o'nénhare' wa'eiéntho'.         
<MOH id = 1329 >	17 Iakotshà:ni, ie'shátste' tánon' iah teiontoríshens.    
<MOH id = 1330 >	18 Iakoterièn:tare' orihwakwé:kon tsi nahò:ten' iéhsa's tho sha'tékena tánon' thok nitio'karà:'on iakoió'tens.         
<MOH id = 1331 >	19 Akaónha iehseriie'tón:nis tánon' ienia'tarón:nis.    
<MOH id = 1332 >	20 Iakotennitenráhtskon tsi nenká: ne rotí:ten tánon' ne tehonatkárien.
<MOH id = 1333 >	21 Iah tha'teiako'nikónhrhare' nó:nen enwà:keren'ne' né: tsi nakohwá:tsire' ronahkwénniaien ne iohtà:nawen.         
<MOH id = 1334 >	22 Iontenaktorókstha' iakón:nis tánon' iakohkwenní:io's arihwawa'konhnéha niwahsohkò:ten' ne kwah kania'tarí:io's ionnià:ton.         
<MOH id = 1335 >	23 Akwé:kon niehonwaienté:ri ne ró:ne né: tsi roteríhonte' ne raotiná:takon.         
<MOH id = 1336 >	24 Ionhkwennión:nis tánon' atia'táhnha iakón:nis ronwanatkehrón:nis ne rontkè:rons.    
<MOH id = 1337 >	25 Ie'shátste' tánon' iakotonkwe'tatkwéniens iah teietshà:nis nahò:ten' tsi naiawen'hátie'.         
<MOH id = 1338 >	26 Ionttókha' tánon' skén:nen tsi ní:ioht tsi iontá:tis.         
<MOH id = 1339 >	27 Tiótkon teiakoweienhnharà:'on tánon' tehonwatíhsnie' nakohwá:tsire'.         
<MOH id = 1340 >	28 Ronwatiien'okòn:'a shakotina'tón:nis tsi shakotirihwakweniénhstha', ok ò:ni' ne ró:ne shakohsennakará:tats.         
	 
<MOH id = 1342 >	****** Result for Image/Page 74 ******
       
<MOH id = 1344 >	29 Rá:ton, "é:so ne konnón:kwe kontenahkwanorónhkhwa', nok í:se' ki' tiaonhà:'a konhsennakará:tats."         
<MOH id = 1345 >	30 Tsi niieweiennò:ten' enkakwé:ni' ensa'nikonhrhà:ten' nok ne iakoia'táhskats iah tiótkon thenkénhake', nok ne iakón:kwe ronwahsennakará:tats ne Roiá:ner kwah orihwà:ke aietshihsennakará:tate'.         
<MOH id = 1346 >	31 Tashé:ion ne tahsherénhsaron' tsi niiontiéhrha'. Teiakotèn:tshon akwé:kon aiethikweniénhsthake'.
